titre,genres,realisateurs,note_presse,note_spectateurs
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
Le Dernier Voyage du Demeter VOD,"Epouvante-horreur, Thriller",André Øvredal,"2,9","2,7"
La Nuit se traîne VOD,"Action, Thriller",Michiel Blanchart,"3,4","3,9"
Revenir VOD,Drame,Jessica Palud,"3,1","3,1"
Goliath VOD,Thriller,Frédéric Tellier,"3,6","3,9"
Divertimento VOD,"Biopic, Drame",Marie-Castille Mention-Schaar,"3,0","4,0"
"Jeanne Dielman 23, Quai Du Commerce, 1080 Bruxelles VOD",Drame,Chantal Akerman,"3,7",--
Truman Capote VOD,"Biopic, Drame",Bennett Miller,"4,2","3,4"
Le Comte de Monte-Cristo VOD,"Aventure, Historique","Matthieu Delaporte, Alexandre De La Patellière","3,6","4,5"
Pas de vagues VOD,Drame,Teddy Lussi-Modeste,"3,4","3,8"
Ticket To Paradise VOD,"Comédie, Romance",Ol Parker,"2,6","2,6"
Un p’tit truc en plus VOD,Comédie, Artus,"3,1","4,2"
Largo Winch : Le prix de l’argent VOD,Action,Olivier Masset-Depasse,"2,6","2,4"
Une femme du monde VOD,Drame,Cécile Ducrocq,"3,6","3,7"
"Vaiana, la légende du bout du monde VOD","Animation, Famille","John Musker, Ron Clements","3,6","4,2"
Winter Break VOD,"Comédie, Drame",Alexander Payne,"3,8","4,1"
